iter	MAE
223	98.34738277
224	98.28558275
225	98.23562604
226	98.1901355
227	98.15207392
228	98.09619207
229	98.05152998
230	98.00819518
231	97.95493019
232	97.85939765
233	97.8171328
234	97.75751005
235	97.69004777
236	97.6404932
237	97.53906255
238	97.49349315
239	97.45620743
240	97.3888465
241	97.33227616
242	97.28751351
243	97.26157228
244	97.21987776
245	97.17766908
246	97.12137799
247	97.06550048
248	96.98325888
249	96.93353021
250	96.87972718
251	96.82953014
252	96.76639952
253	96.72857665
254	96.70140593
255	96.65448147
256	96.61527042
257	96.5938071
258	96.51645383
259	96.41626024
260	96.39369013
261	96.3174399
262	96.26010871
263	96.23642198
264	96.17849443
265	96.14399394
266	96.06842991
267	96.04639039
268	96.00863304
269	95.96031774
270	95.90475876
271	95.83100658
272	95.8052704
273	95.76799741
274	95.74477404
275	95.636413
276	95.61493703
277	95.57533473
278	95.52022109
279	95.45224837
280	95.38926918
281	95.33879604
282	95.29303259
283	95.23892577
284	95.21846529
285	95.19143102
286	95.1354001
287	95.09956848
288	95.01789696
289	94.95032594
290	94.91231342
291	94.8679719
292	94.83658238
293	94.80476169
294	94.75937461
295	94.70198174
296	94.66040289
297	94.64492087
298	94.57061299
299	94.5057348
300	94.49320407
301	94.44787641
302	94.41183804
303	94.39115441
304	94.37305989
305	94.33902453
306	94.31248656
307	94.27608033
308	94.2263676
309	94.16660166
310	94.13622919
311	94.11954301
312	94.06563201
313	93.98276561
314	93.92973529
315	93.90576283
316	93.85842585
317	93.82991005
318	93.78299307
319	93.7638659
320	93.72262724
321	93.71192539
322	93.67723954
323	93.62995413
324	93.57742137
325	93.54173929
326	93.48043594
327	93.42915102
328	93.39296574
329	93.35077806
330	93.32342263
331	93.28929559
332	93.26976396
333	93.23827422
334	93.16164307
335	93.14053673
336	93.08611197
337	93.04922446
338	93.02513926
339	93.01321781
340	92.97767806
341	92.93652592
342	92.87402365
343	92.85611315
344	92.80045306
345	92.75228153
346	92.71955058
347	92.69137509
348	92.67748923
349	92.65391564
350	92.6329584
351	92.6033084
352	92.58111918
353	92.56749031
354	92.53768146
355	92.52322444
356	92.50988516
357	92.45412711
358	92.43185171
359	92.41761054
360	92.38705381
361	92.35288157
362	92.31989396
363	92.28700298
364	92.24412936
365	92.20727444
366	92.16549728
367	92.12854947
368	92.09396304
369	92.08415109
370	92.05995755
371	92.01557486
372	91.98775677
373	91.96264815
374	91.95221672
375	91.92211896
376	91.90218371
377	91.87829714
378	91.86405941
379	91.830892
380	91.78403893
381	91.76624472
382	91.74977961
383	91.72744497
384	91.70978789
385	91.67820542
386	91.64252392
387	91.62455188
388	91.61077402
389	91.57376878
390	91.53834813
391	91.52162091
392	91.4718413
393	91.45030856
394	91.42373533
395	91.40038296
396	91.37466119
397	91.35348593
398	91.32835116
399	91.30251983
400	91.28718622
401	91.27093039
402	91.25720995
403	91.23072143
404	91.21902313
405	91.20806198
406	91.19069283
407	91.16457285
408	91.13346951
409	91.12003568
410	91.08769428
411	91.04413046
412	91.01961592
413	91.00380219
414	90.99543707
415	90.97056265
416	90.95596601
417	90.93139576
418	90.91683673
419	90.87634904
420	90.85243711
421	90.81509635
422	90.79911286
423	90.76394272
424	90.73321437
425	90.69954376
426	90.67074039
427	90.64533237
428	90.62238606
429	90.61367353
430	90.60241088
431	90.5880436
432	90.55559461
433	90.53167526
434	90.52207028
435	90.51398446
436	90.4838265
437	90.45778833
438	90.43511829
439	90.41480128
440	90.39838519
441	90.39142731
442	90.37702016
443	90.36923004
444	90.36072309
445	90.3404581
446	90.31985901
447	90.30203946
448	90.28493759
449	90.26185568
450	90.25585511
451	90.24369178
452	90.21111516
453	90.17187607
454	90.153615
455	90.14433077
456	90.11762009
457	90.097626
458	90.07281001
459	90.06290072
460	90.05141878
461	90.03315892
462	90.01414433
463	90.00240882
464	89.96516913
465	89.94459067
466	89.91640358
467	89.89767067
468	89.87859793
469	89.86326377
470	89.85275957
471	89.82619841
472	89.80726841
473	89.7897814
474	89.77017179
475	89.72676027
476	89.7113553
477	89.70439466
478	89.68877785
479	89.6622221
480	89.65607159
481	89.63683379
482	89.62593868
483	89.61944691
484	89.60432644
485	89.58826011
486	89.58147871
487	89.56946339
488	89.55000147
489	89.53439377
490	89.52622199
491	89.52153815
492	89.49824223
493	89.47645739
494	89.45746569
495	89.43824415
496	89.42647047
497	89.39916495
498	89.38056589
499	89.36374454
500	89.3341285
501	89.30861143
502	89.29837254
503	89.27802661
504	89.27272981
505	89.2384522
506	89.21891607
507	89.20365861
508	89.18161109
509	89.16493745
510	89.14817919
511	89.12942913
512	89.12422984
513	89.10674421
514	89.09657968
515	89.07179637
516	89.04778116
517	89.00938514
518	89.00284146
519	88.97762465
520	88.9618535
521	88.94200807
522	88.93199588
523	88.91706466
524	88.89618846
525	88.88231754
526	88.86911991
527	88.85280716
528	88.84712707
529	88.82420196
530	88.80953438
531	88.8020222
532	88.78189506
533	88.77930426
534	88.75722258
535	88.74083888
536	88.72360922
537	88.71156779
538	88.69432468
539	88.68206675
540	88.65722564
541	88.64879459
542	88.64058082
543	88.62276142
544	88.60267354
545	88.58314577
546	88.57206747
547	88.54176839
548	88.52265051
549	88.51448334
550	88.48759177
551	88.47750823
552	88.47178767
553	88.4485198
554	88.43534539
555	88.42534224
556	88.41565295
557	88.40172636
558	88.38665803
559	88.37400607
560	88.35938114
561	88.34629486
562	88.34120883
563	88.3264297
564	88.30394192
565	88.29036446
566	88.26965729
567	88.24795751
568	88.22572157
569	88.20236692
570	88.18818421
571	88.17166673
572	88.16630831
573	88.15433166
574	88.13876385
575	88.12721188
576	88.121358
577	88.10281916
578	88.06587053
579	88.05191084
580	88.03634184
581	88.02868613
582	88.00932059
583	87.99267248
584	87.98662988
585	87.96971572
586	87.96014863
587	87.95541619
588	87.95124406
589	87.94650202
590	87.92769585
591	87.91337161
592	87.89592781
593	87.8767376
594	87.86339956
595	87.83904207
596	87.82647551
597	87.81501757
598	87.80480031
599	87.78964547
600	87.78293665
601	87.76790435
602	87.75824602
603	87.74474303
604	87.72664623
605	87.70864401
606	87.69751885
607	87.6838022
608	87.6690433
609	87.64811577
610	87.63306711
611	87.62277262
612	87.61134778
613	87.59628304
614	87.5798649
615	87.57225636
616	87.56316332
617	87.55003114
618	87.53842424
619	87.53248212
620	87.50945389
621	87.49830906
622	87.48945475
623	87.47666336
624	87.46958671
625	87.45836108
626	87.44363807
627	87.4350406
628	87.41970619
629	87.40227793
630	87.37088389
631	87.35989721
632	87.34944993
633	87.34372578
634	87.33551605
635	87.32441679
636	87.31515939
637	87.30462723
638	87.29448258
639	87.27515917
640	87.26463229
641	87.2405541
642	87.21821969
643	87.20269466
644	87.19412518
645	87.18614222
646	87.17647224
647	87.16512531
648	87.14855259
649	87.14164293
650	87.12347623
651	87.11267648
652	87.08896113
653	87.08422815
654	87.06479726
655	87.05726065
656	87.02954375
657	87.01171783
658	86.99825379
659	86.97761606
660	86.97020351
661	86.95731309
662	86.94986379
663	86.94023723
664	86.9308321
665	86.9183682
666	86.91562994
667	86.90591022
668	86.89584294
669	86.88667423
670	86.87318446
671	86.85839522
672	86.85010629
673	86.83851371
674	86.81618089
675	86.81279262
676	86.78777687
677	86.77551355
678	86.75517063
679	86.74187743
680	86.73534135
681	86.73338213
682	86.72854263
683	86.71264233
684	86.69365302
685	86.6825151
686	86.66770442
687	86.65358204
688	86.64741847
689	86.63021236
690	86.62037707
691	86.6131422
692	86.60372139
693	86.58332722
694	86.57272868
695	86.56285225
696	86.55556812
697	86.54498368
698	86.53546394
699	86.52448265
700	86.50615695
701	86.49530227
702	86.48307797
703	86.47817926
704	86.46287073
705	86.45601087
706	86.45303776
707	86.44326482
708	86.42949647
709	86.41880727
710	86.40341117
711	86.39680859
712	86.38780719
713	86.37631819
714	86.36019507
715	86.34437833
716	86.33342398
717	86.32115587
718	86.31483672
719	86.30643049
720	86.30158572
721	86.2912319
722	86.28097658
723	86.27018749
724	86.25709385
725	86.24867597
726	86.23679868
727	86.22941218
728	86.22454497
729	86.20606174
730	86.2010099
731	86.19229355
732	86.18267514
733	86.17796819
734	86.16731443
735	86.15342961
736	86.1336411
737	86.12093735
738	86.11517572
739	86.11193261
740	86.09462136
741	86.08041566
742	86.0740455
743	86.06113879
744	86.05064797
745	86.04090117
746	86.03315596
747	86.02460629
748	86.0202593
749	86.00986614
750	86.00544003
751	85.99472299
752	85.97269748
753	85.96581946
754	85.96020931
755	85.94942216
756	85.94599078
757	85.9215353
758	85.91077873
759	85.90149079
760	85.89093642
761	85.88189098
762	85.87511138
763	85.87110818
764	85.85352591
765	85.84387358
766	85.8387654
767	85.82728355
768	85.8132101
769	85.809186
770	85.79864464
771	85.79130692
772	85.78508396
773	85.7788633
774	85.76957238
775	85.76202834
776	85.75225536
777	85.74030159
778	85.72782117
779	85.71576156
780	85.70589739
781	85.69577789
782	85.68480001
783	85.66987592
784	85.66285514
785	85.6545337
786	85.64225033
787	85.63570715
788	85.62447643
789	85.62076967
790	85.611766
791	85.60017119
792	85.58432251
793	85.57832666
794	85.56905025
795	85.562043
796	85.55445614
797	85.53758417
798	85.52622657
799	85.51768126
800	85.49946502
801	85.4858147
802	85.47939986
803	85.46811027
804	85.46112239
805	85.45593183
806	85.45374883
807	85.43595651
808	85.43213146
809	85.42901977
810	85.42600098
811	85.42009728
812	85.39707805
813	85.38602506
814	85.38194127
815	85.37393229
816	85.36488915
817	85.35793599
818	85.34988416
819	85.33936621
820	85.32319082
821	85.31497206
822	85.30413942
823	85.29852544
824	85.28415082
825	85.27699879
826	85.26947696
827	85.2631099
828	85.25639668
829	85.24549417
830	85.23856446
831	85.22556702
832	85.2214127
833	85.21303289
834	85.20332151
835	85.19971278
836	85.18196655
837	85.17136179
838	85.15950624
839	85.15373914
840	85.1433612
841	85.13556624
842	85.12923377
843	85.1159828
844	85.10403428
845	85.09740366
846	85.09275963
847	85.08710237
848	85.08285423
849	85.07441556
850	85.06473793
851	85.05881971
852	85.04961567
853	85.04248123
854	85.03931008
855	85.02988261
856	85.01899078
857	85.00380452
858	84.98120559
859	84.97866976
860	84.9672507
861	84.96396235
862	84.95857305
863	84.94365106
864	84.93663449
865	84.92595679
866	84.91898826
867	84.90541259
868	84.89851689
869	84.87705556
870	84.87122973
871	84.86501007
872	84.8591
873	84.84137242
874	84.82866873
875	84.81160113
876	84.8071608
877	84.80114658
878	84.78809932
879	84.78666984
880	84.781279
881	84.7688594
882	84.76215859
883	84.75952321
884	84.75023963
885	84.73828885
886	84.72383906
887	84.71920217
888	84.71620607
889	84.7003017
890	84.69759245
891	84.68639922
892	84.6796151
893	84.66916181
894	84.6562861
895	84.64795005
896	84.64438291
897	84.63437102
898	84.62309004
899	84.61860499
