iter	MAE
0	1078.422001
1	1033.166029
2	988.1198674
3	943.9590016
4	903.0989829
5	863.7781388
6	827.4268198
7	792.4812956
8	758.3513191
9	726.9128353
10	696.320648
11	667.4605753
12	640.0622301
13	614.1629517
14	589.4470217
15	565.365956
16	542.8034836
17	522.0558061
18	502.3266307
19	484.6525287
20	466.8339774
21	450.0660957
22	434.1086578
23	418.5723614
24	403.5571319
25	389.6699345
26	376.3103811
27	364.1912677
28	352.283149
29	341.5360596
30	331.3181856
31	321.3134481
32	311.6833823
33	302.5796797
34	293.5721671
35	285.2836307
36	277.2498232
37	269.4565831
38	262.3362991
39	255.3892443
40	248.2547451
41	241.5441785
42	235.0475676
43	229.1689695
44	224.5510273
45	218.8667494
46	213.4517084
47	208.3647538
48	203.3785798
49	198.9473359
50	194.4647301
51	190.2889812
52	186.0046842
53	182.0793137
54	178.7221137
55	176.1511263
56	172.6560247
57	169.4760315
58	166.3040451
59	163.434985
60	160.5450878
61	157.882686
62	155.4011625
63	153.2762958
64	150.8351592
65	148.6079481
66	146.4869755
67	144.3941052
68	142.5315852
69	140.7360172
70	139.012736
71	137.3131836
72	135.6971317
73	134.2777374
74	132.8425934
75	131.6440228
76	130.3901039
77	129.286493
78	128.0441263
79	126.8867831
80	125.7967466
81	124.8078415
82	123.9167796
83	122.9798501
84	122.2461842
85	121.3509887
86	120.705109
87	119.8350725
88	119.0686199
89	118.4441205
90	117.7724171
91	117.1348593
92	116.4616969
93	115.8187355
94	115.2340608
95	114.7352669
96	114.2270407
97	113.8237
98	113.3890419
99	112.9338257
100	112.4553061
101	111.9911333
102	111.5477168
103	111.1982154
104	110.8815264
105	110.5567032
106	110.2092064
107	109.8930928
108	109.5705335
109	109.2518683
110	108.883591
111	108.5709085
112	108.2594673
113	107.9508998
114	107.7421209
115	107.5138866
116	107.2877156
117	107.0313746
118	106.8010704
119	106.5308048
120	106.3204154
121	106.1761261
122	105.9979117
123	105.8073873
124	105.6812965
125	105.4928582
126	105.3636045
127	105.1847152
128	105.0889234
129	104.9747142
130	104.7923453
131	104.6122771
132	104.4967573
133	104.3163558
134	104.1828878
135	104.0727383
136	103.9797706
137	103.8707797
138	103.7968163
139	103.6957656
140	103.6321737
141	103.5409598
142	103.4444941
143	103.312462
144	103.2233794
145	103.0986728
146	103.0215876
147	102.9693663
148	102.878816
149	102.8388426
150	102.7038978
151	102.6349211
152	102.5766958
153	102.5096761
154	102.4565295
155	102.3622438
156	102.2897646
157	102.2081439
158	102.159493
159	102.0849018
160	102.0377532
161	101.9843167
162	101.9097735
163	101.838492
164	101.7886397
165	101.7137902
166	101.67496
167	101.600905
168	101.554182
169	101.4855063
170	101.4085693
171	101.3686763
172	101.3185252
173	101.2283249
174	101.1962207
175	101.0842781
176	101.0254138
177	100.9538869
178	100.8759169
179	100.782698
180	100.7580659
181	100.7129554
182	100.660364
183	100.6282763
184	100.5233818
185	100.4611421
186	100.4229779
187	100.3368624
188	100.2601574
189	100.16927
190	100.0946141
191	100.0517167
192	99.98017108
193	99.9553951
194	99.88622592
195	99.83859834
196	99.75722282
197	99.69636508
198	99.65640519
199	99.60318621
200	99.55422649
201	99.48289041
202	99.44977468
203	99.38141606
204	99.25292649
205	99.18858577
206	99.1277304
207	99.08201347
208	99.05125187
209	99.00688551
210	98.97674647
211	98.9186469
212	98.86308268
213	98.83294746
214	98.7714942
215	98.69218621
216	98.62040229
217	98.57094717
218	98.53684619
219	98.49792059
220	98.46080382
221	98.41739119
222	98.37139312
